year,GP name,date,start,finish,statusId,team,driverRef,dob,circuit name,location,country,driver home,team home
2025,Bahrain Grand Prix,2025-04-13,3,2,1,Mercedes,russell,1998-02-15,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,6,3,1,McLaren,norris,1999-11-13,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,2,4,1,Ferrari,leclerc,1997-10-16,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,9,5,1,Ferrari,hamilton,1985-01-07,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,7,6,1,Red Bull,max_verstappen,1997-09-30,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,4,7,1,Alpine,gasly,1996-02-07,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,14,8,1,Haas F1 Team,ocon,1996-09-17,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,10,9,1,Red Bull,tsunoda,2000-05-11,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,20,10,1,Haas F1 Team,bearman,2005-05-08,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,5,11,1,Mercedes,antonelli,,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,15,12,1,Williams,albon,1996-03-23,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,12,13,1,RB F1 Team,hadjar,,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,11,14,1,Alpine,doohan,2003-01-20,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,13,15,1,Aston Martin,alonso,1981-07-29,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,17,16,1,RB F1 Team,lawson,2002-02-11,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,19,17,1,Aston Martin,stroll,1998-10-29,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,18,18,1,Sauber,bortoleto,,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,8,19,3,Williams,sainz,1994-09-01,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Bahrain Grand Prix,2025-04-13,16,20,1,Sauber,hulkenberg,1987-08-19,Bahrain International Circuit,Sakhir,BAH,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,2,1,1,McLaren,piastri,2001-04-06,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,1,2,1,Red Bull,max_verstappen,1997-09-30,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,4,3,1,Ferrari,leclerc,1997-10-16,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,10,4,1,McLaren,norris,1999-11-13,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,3,5,1,Mercedes,russell,1998-02-15,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,5,6,1,Mercedes,antonelli,,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,7,7,1,Ferrari,hamilton,1985-01-07,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,6,8,1,Williams,sainz,1994-09-01,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,11,9,1,Williams,albon,1996-03-23,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,14,10,1,RB F1 Team,hadjar,,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,13,11,1,Aston Martin,alonso,1981-07-29,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,12,12,1,RB F1 Team,lawson,2002-02-11,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,15,13,1,Haas F1 Team,bearman,2005-05-08,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,19,14,1,Haas F1 Team,ocon,1996-09-17,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,18,15,1,Sauber,hulkenberg,1987-08-19,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,16,16,1,Aston Martin,stroll,1998-10-29,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,17,17,1,Alpine,doohan,2003-01-20,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,20,18,1,Sauber,bortoleto,,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,8,19,3,Red Bull,tsunoda,2000-05-11,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Saudi Arabian Grand Prix,2025-04-20,9,20,3,Alpine,gasly,1996-02-07,Jeddah Corniche Circuit,Jeddah,SAU,0,0
2025,Miami Grand Prix,2025-05-04,4,1,1,McLaren,piastri,2001-04-06,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,2,2,1,McLaren,norris,1999-11-13,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,5,3,1,Mercedes,russell,1998-02-15,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,1,4,1,Red Bull,max_verstappen,1997-09-30,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,7,5,1,Williams,albon,1996-03-23,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,3,6,1,Mercedes,antonelli,,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,8,7,1,Ferrari,leclerc,1997-10-16,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,12,8,1,Ferrari,hamilton,1985-01-07,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,6,9,1,Williams,sainz,1994-09-01,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,10,10,1,Red Bull,tsunoda,2000-05-11,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,11,11,1,RB F1 Team,hadjar,,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,9,12,1,Haas F1 Team,ocon,1996-09-17,Miami International Autodrome,Miami,AME,0,1
2025,Miami Grand Prix,2025-05-04,20,13,1,Alpine,gasly,1996-02-07,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,16,14,1,Sauber,hulkenberg,1987-08-19,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,17,15,1,Aston Martin,alonso,1981-07-29,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,18,16,1,Aston Martin,stroll,1998-10-29,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,15,17,3,RB F1 Team,lawson,2002-02-11,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,13,18,3,Sauber,bortoleto,,Miami International Autodrome,Miami,AME,0,0
2025,Miami Grand Prix,2025-05-04,19,19,3,Haas F1 Team,bearman,2005-05-08,Miami International Autodrome,Miami,AME,0,1
2025,Miami Grand Prix,2025-05-04,14,20,3,Alpine,doohan,2003-01-20,Miami International Autodrome,Miami,AME,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,2,1,1,Red Bull,max_verstappen,1997-09-30,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,4,2,1,McLaren,norris,1999-11-13,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,1,3,1,McLaren,piastri,2001-04-06,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,12,4,1,Ferrari,hamilton,1985-01-07,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,1
2025,Emilia-Romagna Grand Prix,2025-05-18,7,5,1,Williams,albon,1996-03-23,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,11,6,1,Ferrari,leclerc,1997-10-16,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,1
2025,Emilia-Romagna Grand Prix,2025-05-18,3,7,1,Mercedes,russell,1998-02-15,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,6,8,1,Williams,sainz,1994-09-01,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,9,9,1,RB F1 Team,hadjar,,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,1
2025,Emilia-Romagna Grand Prix,2025-05-18,20,10,1,Red Bull,tsunoda,2000-05-11,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,5,11,1,Aston Martin,alonso,1981-07-29,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,17,12,1,Sauber,hulkenberg,1987-08-19,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,10,13,1,Alpine,gasly,1996-02-07,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,15,14,1,RB F1 Team,lawson,2002-02-11,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,1
2025,Emilia-Romagna Grand Prix,2025-05-18,8,15,1,Aston Martin,stroll,1998-10-29,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,16,16,1,Alpine,colapinto,2003-05-27,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,19,17,1,Haas F1 Team,bearman,2005-05-08,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,14,18,1,Sauber,bortoleto,,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,13,19,3,Mercedes,antonelli,,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Emilia-Romagna Grand Prix,2025-05-18,18,20,3,Haas F1 Team,ocon,1996-09-17,Autodromo Enzo e Dino Ferrari,Imola,ITA,0,0
2025,Monaco Grand Prix,2025-05-25,1,1,1,McLaren,norris,1999-11-13,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,2,2,1,Ferrari,leclerc,1997-10-16,,Monaco,MON,1,0
2025,Monaco Grand Prix,2025-05-25,3,3,1,McLaren,piastri,2001-04-06,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,4,4,1,Red Bull,max_verstappen,1997-09-30,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,7,5,1,Ferrari,hamilton,1985-01-07,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,5,6,1,RB F1 Team,hadjar,,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,8,7,1,Haas F1 Team,ocon,1996-09-17,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,9,8,1,RB F1 Team,lawson,2002-02-11,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,10,9,1,Williams,albon,1996-03-23,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,11,10,1,Williams,sainz,1994-09-01,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,14,11,1,Mercedes,russell,1998-02-15,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,20,12,1,Haas F1 Team,bearman,2005-05-08,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,18,13,1,Alpine,colapinto,2003-05-27,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,16,14,1,Sauber,bortoleto,,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,19,15,1,Aston Martin,stroll,1998-10-29,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,13,16,1,Sauber,hulkenberg,1987-08-19,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,12,17,1,Red Bull,tsunoda,2000-05-11,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,15,18,1,Mercedes,antonelli,,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,6,19,3,Aston Martin,alonso,1981-07-29,,Monaco,MON,0,0
2025,Monaco Grand Prix,2025-05-25,17,20,3,Alpine,gasly,1996-02-07,,Monaco,MON,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,1,1,1,McLaren,piastri,2001-04-06,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,1,1,1,McLaren,piastri,2001-04-06,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,2,2,1,McLaren,norris,1999-11-13,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,2,2,1,McLaren,norris,1999-11-13,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,7,3,1,Ferrari,leclerc,1997-10-16,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,7,3,1,Ferrari,leclerc,1997-10-16,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,4,4,1,Mercedes,russell,1998-02-15,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,4,4,1,Mercedes,russell,1998-02-15,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,15,5,1,Sauber,hulkenberg,1987-08-19,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,15,5,1,Sauber,hulkenberg,1987-08-19,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,5,6,1,Ferrari,hamilton,1985-01-07,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,5,6,1,Ferrari,hamilton,1985-01-07,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,9,7,1,RB F1 Team,hadjar,,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,9,7,1,RB F1 Team,hadjar,,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,8,8,1,Alpine,gasly,1996-02-07,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,8,8,1,Alpine,gasly,1996-02-07,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,10,9,1,Aston Martin,alonso,1981-07-29,Montjuïc,Barcelona,SPA,1,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,10,9,1,Aston Martin,alonso,1981-07-29,Circuit de Pedralbes,Barcelona,SPA,1,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,3,10,1,Red Bull,max_verstappen,1997-09-30,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,3,10,1,Red Bull,max_verstappen,1997-09-30,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,13,11,1,RB F1 Team,lawson,2002-02-11,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,13,11,1,RB F1 Team,lawson,2002-02-11,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,12,12,1,Sauber,bortoleto,,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,12,12,1,Sauber,bortoleto,,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,19,13,1,Red Bull,tsunoda,2000-05-11,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,19,13,1,Red Bull,tsunoda,2000-05-11,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,17,14,1,Williams,sainz,1994-09-01,Montjuïc,Barcelona,SPA,1,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,17,14,1,Williams,sainz,1994-09-01,Circuit de Pedralbes,Barcelona,SPA,1,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,18,15,1,Alpine,colapinto,2003-05-27,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,18,15,1,Alpine,colapinto,2003-05-27,Circuit de Pedralbes,Barcelona,SPA,0,0
